abandonar;abandon
abreujar;abbreviate
segrestar;abduct
encoratjar;abet
detestar;abhor
obeir;abide
abolir;abolish
absorbir;absorb
abstracte;abstract
accelerar;accelerate
accentuar;accentuate
acceptar;accept
acollir;accommodate
acompanyar;accompany
aconseguir;accomplish
acordar;accord
compte;account
acumular;accumulate
acusar;accuse
aconseguir / assolir;achieve
reconèixer;acknowledge
adquirir;acquire
absoldre;acquit
activar;activate
adaptar;adapt
dirigir-se a / tractar (tema);address
adherir;adhere
ajornar;adjourn
ajustar  ;adjust
administrar;administer
admirar;admire
admetre;admit
amonestar;admonish
adoptar;adopt
adorar;adore
avançar;advance
aconsellar;advise
defensar;advocate
afectar;affect
afiliar;affiliate
afirmar;affirm
afegir;affix
afligir;afflict
permetre’s (econòmicament);afford
agreujar;aggravate
agregar;aggregate
agonitzar;agonize
estar d’acord;agree
ajudar;aid
patir;ail
apuntar / objectiu;aim
airejar;air
alarmar;alarm
alertar;alert
alienar;alienate
alinear;align
al·legar;allege
alleujar;alleviate
assignar;allocate
permetre;allow
al·ludir;allude
aliar-se;ally
alterar / modificar;alter
alternar;alternate
amalgamar;amalgamate
sorprendre;amaze
caminar;amble
esmenar;amend
amplificar;amplify
divertir;amuse
analitzar;analyze
ancorar;anchor
enfadar;anger
inclinar;angle
animar;animate
anunciar;announce
molestar / fer enfadar;annoy
anul·lar;annul
ungir;anoint
respondre / contestar;answer
anticipar;anticipate
demanar perdó;apologize
apel·lar / agradar;appeal
aparèixer/parecer;appear
apaivagar;appease
aplaudir;applaud
sol·licitar / aplicar;apply
nomenar / designar;appoint
avaluar;appraise
valorar / agrair;appreciate
acostar-se / enfocar;approach
aprovar;approve
discutir;argue
sorgir;arise
organitzar;arrange
arrestar;arrest
arribar;arrive
articular;articulate
demanar / preguntar;ask
reunir / muntar;assemble
afirmar;assert
avaluar;assess
assignar;assign
ajudar / assistir;assist
associar;associate
suposar;assume
assegurar;assure
sorprendre;astonish
adjuntar / enganxar;attach
atacar;attack
assolir;attain
intentar;attempt
assistir;attend
atreure;attract
atribuir;attribute
autoritzar;authorize
evitar;avoid
despertar;awake
despertar-se;awaken
atorgar;award
;
;
;
;
