creure;believe;I believe in you.;Jo crec en tu.;Yo creo en ti.
calcular;calculate;;;
trucar;call;;;
fer campanya;campaign;;;
cancel·lar;cancel;They canceled the concert due to rain.;Van cancel·lar el concert per la pluja.;Cancelaron el concierto por la lluvia.
capturar;capture;The camera can capture fast movements.;La càmera pot capturar moviments ràpids.;La cámara puede capturar movimientos rápidos.
cuidar;care;Nurses care for their patients.;Les infermeres cuiden dels seus pacients.;Las enfermeras cuidan de sus pacientes.
carregar;carry;She carried the baby upstairs.;Va pujar el nadó a dalt.;Subió al bebé arriba.
carvar;carve;;;
esculpir;carve;;;
atrapar;catch;He tried to catch the ball.;Va intentar atrapar la pilota.;Intentó atrapar la pelota.
classificar;categorize;;;
proporcionar;cater;;;
causar;cause;Smoking can cause cancer.;Fumar pot causar càncer.;Fumar puede causar cáncer.
causar;cause;;;
provocar;cause;;;
cessar;cease;;;
cessar;cease;;;
celebrar;celebrate;We will celebrate her birthday tomorrow.;Celebrarem el seu aniversari demà.;Celebraremos su cumpleaños mañana.
celebrar;celebrate;;;
reptar;challenge;;;
reptar;challenge;;;
canviar;change;He wants to change jobs.;Vol canviar de feina.;Quiere cambiar de trabajo.
canviar;change;;;
cantar;chant;The fans chanted the team’s name.;Els aficionats corejaven el nom de l’equip.;Los aficionados coreaban el nombre del equipo.
entonar;chant;;;
carregar;charge;Please charge your phone.;Si us plau, carrega el teu telèfon.;Por favor, carga tu teléfono.
carregar;charge;;;
encantar;charm;;;
perseguir;chase;;;
xerrar;chat;Let's chat after lunch.;Xerrem després de dinar.;Charlem después de comer.
xerrar;chat;;;
enganyar;cheat;;;
comprovar;check;;;
animar;cheer;;;
estimar;cherish;;;
mastegar;chew;;;
trencar;chip;;;
ofegar-se;choke;;;
escollir;choose;;;
citar;cite;;;
reclamar;claim;You can claim a refund if it’s broken.;Pots reclamar un reemborsament si està trencat.;Puedes reclamar un reembolso si está roto.
aplaudir;clap;;;
clarificar;clarify;;;
clarificar;clarify;;;
classificar;classify;;Els científics classifiquen els animals per espècie.;Los científicos clasifican los animales por especie.
netejar;clean;;;
esborrar;clear;;;
clicar;click;;;
escalar/pujar;climb;We climbed to the top of the mountain.;Vam escalar fins al cim de la muntanya.;Escalamos hasta la cima de la montaña.
aferrar-se;cling;;;
retallar;clip;;;
tapar/cobrir;cloak;The fog cloaked the mountain.;La boira va cobrir la muntanya.;La niebla cubrió la montaña.
tancar;close;Close the window, please.;Tanca la finestra, si us plau.;Cierra la ventana, por favor.
vestir;clothe;;;
agafar fort;clutch;;;
entrenar;coach;;;
coexistir;coexist;;;
col·laborar;collaborate;;;
col·lapsar;collapse;;;
cobrar;collect;He collects rent every month.;Ell cobra el lloguer cada mes.;Él cobra el alquiler cada mes.
recollir;collect;;;
xocar;collide;;;
colonitzar;colonize;;;
colorejar;color;;;
pentinar;comb;;;
combinar;combine;;;
consolar;comfort;;;
manar;command;;;
comentar;comment;;;
comunicar;communicate;They communicate by email.;Es comuniquen per correu electrònic.;Se comunican por correo electrónico.
comparar;compare;Compare the prices before buying.;Compara els preus abans de comprar.;Compara los precios antes de comprar.
competir;compete;They compete in international events.;Competeixen en esdeveniments internacionals.;Compiten en eventos internacionales.
completar;complete;She completed the assignment on time.;Va completar la tasca a temps.;Completó la tarea a tiempo.
enfocar;concentrate;Try to concentrate on the task.;Intenta concentrar-te en la tasca.;Intenta concentrarte en la tarea.
connectar;connect;I can't connect to the Wi-Fi.;No puc connectar-me al Wi-Fi.;No puedo conectarme al Wi-Fi.
considerar;consider;Have you considered changing jobs?;Has considerat canviar de feina?;¿Has considerado cambiar de trabajo?
controlar;control;You need to control your temper.;Has de controlar el teu caràcter.;Debes controlar tu carácter.
cuinar;cook;He loves to cook Italian food.;Li encanta cuinar menjar italià.;Le encanta cocinar comida italiana.
refredar;cool;Let the cake cool before serving.;Deixa refredar el pastís abans de servir.;Deja enfriar el pastel antes de servir.
copiar;copy;Don’t copy my homework.;No copiïs els meus deures.;No copies mis deberes.
corregir;correct;Please correct your mistakes.;Si us plau, corregeix els teus errors.;Por favor, corrige tus errores.
costar;cost;This phone costs a lot of money.;Aquest telèfon costa molts diners.;Este teléfono cuesta mucho dinero.
tossir;cough;He started to cough during the meeting.;Va començar a tossir durant la reunió.;Empezó a toser durante la reunión.
comptar;count;Count how many apples you have.;Compta quantes pomes tens.;Cuenta cuántas manzanas tienes.
cobrir;cover;Cover the pot with a lid.;Cobreix l’olla amb una tapa.;Cubre la olla con una tapa.
colpejar;crash;The car crashed into a wall.;El cotxe es va estavellar contra un mur.;El coche se estrelló contra un muro.
crear;create;Artists create amazing things.;Els artistes creen coses increïbles.;Los artistas crean cosas increíbles.
criticar;criticize;Don’t criticize others unfairly.;No critiquis els altres injustament.;No critiques a los demás injustamente.
creuar;cross;Always look both ways before you cross.;Mira sempre als dos costats abans de creuar.;Mira siempre a ambos lados antes de cruzar.
tallar;cut;She cut the paper with scissors.;Va tallar el paper amb unes tisores.;Cortó el papel con unas tijeras.
