ballar;dance;I will dance tomorrow.;Demà ballar.
atrevir-se;dare;I will dare tomorrow.;Demà atrevir-se.
enlluernar;dazzle;I will dazzle tomorrow.;Demà enlluernar.
desactivar;deactivate;I will deactivate tomorrow.;Demà desactivar.
repartir;deal;I will deal tomorrow.;Demà repartir.
morir;die;I will die tomorrow.;Demà morir.
dibuixar;draw;I will draw tomorrow.;Demà dibuixar.
descobrir;discover;I will discover tomorrow.;Demà descobrir.
discutir;discuss;I will discuss tomorrow.;Demà discutir.
desitjar;desire;I will desire tomorrow.;Demà desitjar.
determinar;determine;I will determine tomorrow.;Demà determinar.
decebre;disappoint;I will disappoint tomorrow.;Demà decebre.
descartar;discard;I will discard tomorrow.;Demà descartar.
disculpar-se;disclaim;I will disclaim tomorrow.;Demà disculpar-se.
distreure;distract;I will distract tomorrow.;Demà distreure.
descendre;descend;I will descend tomorrow.;Demà descendre.
defensar;defend;I will defend tomorrow.;Demà defensar.
danyar;damage;I will damage tomorrow.;Demà danyar.
dominar;dominate;I will dominate tomorrow.;Demà dominar.
digerir;digest;I will digest tomorrow.;Demà digerir.
decidir;decide;I will decide tomorrow.;Demà decidir.
desconnectar;disconnect;I will disconnect tomorrow.;Demà desconnectar.
descodificar;decode;I will decode tomorrow.;Demà descodificar.
disparar;discharge;I will discharge tomorrow.;Demà disparar.
declarar;declare;I will declare tomorrow.;Demà declarar.
dissenyar;design;I will design tomorrow.;Demà dissenyar.
deformar;deform;I will deform tomorrow.;Demà deformar.
definir;define;I will define tomorrow.;Demà definir.
degradar;degrade;I will degrade tomorrow.;Demà degradar.
deixar;drop;I will drop tomorrow.;Demà deixar.
drenar;drain;I will drain tomorrow.;Demà drenar.
devorar;devour;I will devour tomorrow.;Demà devorar.
demostrar;demonstrate;I will demonstrate tomorrow.;Demà demostrar.
desfer;dismantle;I will dismantle tomorrow.;Demà desfer.
desatendre;disregard;I will disregard tomorrow.;Demà desatendre.
disfressar-se;disguise;I will disguise tomorrow.;Demà disfressar-se.
desviar;divert;I will divert tomorrow.;Demà desviar.
dirigir;direct;I will direct tomorrow.;Demà dirigir.
desitjar molt;desperately want;I will desperately want tomorrow.;Demà desitjar molt.
desallotjar;dislodge;I will dislodge tomorrow.;Demà desallotjar.
deshonrar;dishonor;I will dishonor tomorrow.;Demà deshonrar.
delimitar;delimit;I will delimit tomorrow.;Demà delimitar.
desinfectar;disinfect;I will disinfect tomorrow.;Demà desinfectar.
derivar;derive;I will derive tomorrow.;Demà derivar.
desemmascarar;debunk;I will debunk tomorrow.;Demà desemmascarar.
desequilibrar;destabilize;I will destabilize tomorrow.;Demà desequilibrar.
donar;donate;I will donate tomorrow.;Demà donar.
disoldre;dissolve;I will dissolve tomorrow.;Demà disoldre.
duplicar;duplicate;I will duplicate tomorrow.;Demà duplicar.
domesticar;domesticate;I will domesticate tomorrow.;Demà domesticar.
dormir;doze;I will doze tomorrow.;Demà dormir.
desitjar ardentment;drool;I will drool tomorrow.;Demà desitjar ardentment.
