menjar;eat;I eat breakfast at 8 a.m.;Esmorzo a les 8 del matí.
enfosquir;eclipse;The moon eclipsed the sun.;La lluna va eclipsar el sol.
endreçar;edit;He edits the school newspaper.;Edita el diari de l’escola.
ensenyar;educate;Teachers educate students.;Els mestres eduquen els alumnes.
elevar;elevate;Elevate your leg if it hurts.;Eleva la cama si et fa mal.
eliminar;eliminate;We need to eliminate the errors.;Hem d'eliminar els errors.
enviar;email;I emailed the report yesterday.;Vaig enviar el correu ahir.
encarnar;embody;He embodies kindness.;Ell encarna la bondat.
sortir;emerge;A butterfly emerged from the cocoon.;Una papallona va sortir del capoll.
emigrar;emigrate;They emigrated to Canada.;Van emigrar al Canadà.
emetre;emit;The machine emits a loud noise.;La màquina emet un soroll fort.
enfocar;emphasize;He emphasized the importance of sleep.;Va destacar la importància de dormir.
empaquetar;encase;They encased the statue in glass.;Van tancar l’estàtua en una vitrina de vidre.
embriagar;enchant;The music enchanted the audience.;La música va encisar el públic.
empènyer;encourage;We encourage students to ask questions.;Animem els estudiants a fer preguntes.
encendre;enflame;His words enflamed the crowd.;Les seves paraules van encendre la multitud.
enfonsar;engulf;Waves engulfed the boat.;Les onades van engolir la barca.
empassar;engulf;Smoke engulfed the whole house.;El fum va empassar-se tota la casa.
enlluernar;enlighten;The teacher enlightened us.;El professor ens va il·luminar.
enriquir;enrich;Books enrich the mind.;Els llibres enriqueixen la ment.
escriure;enroll;I enrolled in a new course.;M’he inscrit a un curs nou.
embolicar;entangle;The ropes entangled the fish.;Les cordes van embolicar el peix.
entrar;enter;Enter the room quietly.;Entra a l’habitació en silenci.
envejar;envy;She envies her sister’s success.;Enveja l’èxit de la seva germana.
equilibrar;equalize;They equalized the score.;Van igualar el marcador.
aixecar;erect;They erected a new building.;Van aixecar un nou edifici.
esmicolar;erode;The sea eroded the rocks.;El mar va erosionar les roques.
equivocar-se;err;To err is human.;Errar és humà.
elevar-se;escalate;The conflict escalated quickly.;El conflicte va escalar ràpidament.
evitar;escape;He escaped through the window.;Va escapar per la finestra.
evacuar;evacuate;They evacuated the building.;Van evacuar l’edifici.
enganyar;evade;He tried to evade the police.;Va intentar evadir la policia.
exigir;exact;They exact payment on delivery.;Exigeixen el pagament en el lliurament.
exagerar;exaggerate;Don’t exaggerate the problem.;No exageris el problema.
excitar;excite;The news excited everyone.;La notícia va emocionar tothom.
exclamar;exclaim;She exclaimed in surprise.;Va exclamar sorpresa.
excloure;exclude;Don’t exclude anyone from the game.;No excloguis ningú del joc.
exercir;exercise;You should exercise daily.;Hauries de fer exercici cada dia.
esgotar;exhaust;The race exhausted him.;La cursa el va deixar esgotat.
exhumar;exhume;They exhumed the body for tests.;Van exhumar el cos per fer proves.
existir;exist;Unicorns do not exist.;Els unicorns no existeixen.
sortir;exit;Please exit through the back door.;Si us plau, surt per la porta del darrere.
ampliar;expand;The company wants to expand.;L'empresa vol expandir-se.
esperar;expect;We expect rain tomorrow.;Esperem pluja demà.
experimentar;experience;She experienced great joy.;Va experimentar una gran alegria.
explicar;explain;Can you explain this word?;Pots explicar aquesta paraula?
esclatar;explode;The bomb exploded suddenly.;La bomba va esclatar de sobte.
explorar;explore;They explored the forest.;Van explorar el bosc.
enviar;export;We export wine to Europe.;Exportem vi a Europa.
enviar;express;I express my ideas clearly.;Expresso les meves idees clarament.
estendre;extend;Can we extend the deadline?;Podem allargar el termini?
extingir;extinguish;The fireman extinguished the fire.;El bomber va apagar el foc.
