fer;fabricate;They fabricated the story.;Van inventar la història.
enfrontar-se;face;You must face your fears.;Has d’afrontar les teves pors.
esvair;fade;The colors faded in the sun.;Els colors es van esvair al sol.
caure;fall;Be careful not to fall.;Vigila de no caure.
tremolar;falter;Her voice faltered with fear.;La seva veu va tremolar de por.
encantar;fascinate;Magic fascinates children.;La màgia fascina als nens.
encaixar;fasten;Fasten your seatbelt.;Cordat el cinturó.
alimentar;fatten;They fatten pigs for market.;Engreixen porcs per vendre’ls.
festejar;feast;We feasted at the wedding.;Vam fer un gran àpat al casament.
alimentar;feed;I feed the cat every morning.;Alimento el gat cada matí.
sentir;feel;I feel happy today.;Avui em sento feliç.
simular;feign;He feigned illness.;Va simular estar malalt.
xocar;fend;He tried to fend off the dog.;Va intentar apartar el gos.
fermentar;ferment;Grapes ferment to make wine.;El raïm fermenta per fer vi.
lluitar;fight;They fight for their rights.;Lluiten pels seus drets.
trobar;find;Can you find my keys?;Pots trobar les meves claus?
acabar;finish;I will finish my homework soon.;Acabaré els deures aviat.
caçar;fish;We fish every weekend.;Pesquem cada cap de setmana.
encaixar;fit;These shoes don't fit me.;Aquests sabates no m’encaixen.
enganxar;fix;Can you fix the clock?;Pots arreglar el rellotge?
cremar;flare;The fire flared up suddenly.;El foc va esclatar de sobte.
enganxar;flick;He flicked the switch.;Va fer clic a l’interruptor.
fullejar;flip;Flip through the magazine.;Fulleja la revista.
festejar;flirt;They flirt at the party.;Flirtegen a la festa.
flotar;float;Leaves float on water.;Les fulles floten a l’aigua.
ploure a bots i barrals;flood;Heavy rain can flood roads.;La pluja forta pot inundar els camins.
fallar;flop;The movie flopped at the cinema.;La pel·lícula va fracassar al cinema.
brollar;flow;Rivers flow to the sea.;Els rius flueixen cap al mar.
florir;flower;The trees flower in spring.;Els arbres floreixen a la primavera.
fluctuar;fluctuate;Prices fluctuate often.;Els preus fluctuen sovint.
volar;fly;Birds can fly.;Els ocells poden volar.
imposar;foist;Don’t foist your ideas on me.;No m’imposis les teves idees.
acaronar;fondle;She fondled the baby gently.;Va acariciar el nadó suaument.
enganyar;fool;Don’t let them fool you.;No deixis que t’enganyin.
caçar;forage;Bears forage for food.;Els óssos busquen menjar.
forçar;force;Don’t force the door open.;No forcis la porta.
preveure;forecast;They forecast snow tomorrow.;Preveuen neu demà.
fer front;foresee;I foresee problems ahead.;Preveig problemes.
falsificar;forge;He forged the signature.;Va falsificar la signatura.
oblidar;forget;Don’t forget your jacket.;No oblidis la jaqueta.
perdonar;forgive;I forgive you.;Et perdono.
formar;form;Clouds form in the sky.;Es formen núvols al cel.
formatar;format;Please format the document.;Si us plau, formata el document.
oblidar;forsake;He won’t forsake his friends.;No abandonarà els seus amics.
formatar;frame;They framed the picture.;Van emmarcar la foto.
fregar;fray;My jeans began to fray.;Els meus texans van començar a esfilagarsar-se.
gelar;freeze;Water freezes at 0°C.;L’aigua es congela a 0 °C.
fregar;friction;Friction slows things down.;La fricció fa disminuir la velocitat.
escorcollar;frisk;The guard frisked the man.;El vigilant va escorcollar l’home.
fumar;fume;He began to fume with anger.;Va començar a fumejar de ràbia.
finançar;fund;The project was funded by the EU.;El projecte va ser finançat per la UE.
fondre;fuse;The metal will fuse in heat.;El metall es fondrà amb la calor.
