Allotjament;Accommodation;Alojamiento;We found affordable accommodation.;Vam trobar un allotjament assequible.;Encontramos un alojamiento asequible.
Aeroport;Airport;Aeropuerto;The airport was crowded today.;L’aeroport estava ple avui.;El aeropuerto estaba lleno hoy.
Equipatge;Baggage;Equipaje;His baggage was lost during the flight.;El seu equipatge es va perdre durant el vol.;Su equipaje se perdió durante el vuelo.
Targeta d'embarcament;Boarding Pass;Tarjeta de embarque;Please show your boarding pass.;Si us plau, mostri la seva targeta d’embarcament.;Por favor, muestre su tarjeta de embarque.
Facturació;Check-in;Facturación;Online check-in saves time.;La facturació en línia estalvia temps.;La facturación en línea ahorra tiempo.
Retard;Delay;Retraso;There was a delay due to bad weather.;Hi va haver un retard pel mal temps.;Hubo un retraso por mal tiempo.
Excés d’equipatge;Excess baggage;Exceso de equipaje;We had to pay for excess baggage.;Vam haver de pagar per excés d’equipatge.;Tuvimos que pagar por exceso de equipaje.
Excursió;Excursion;Excursión;We went on an excursion to the mountains.;Vam fer una excursió a les muntanyes.;Fuimos de excursión a las montañas.
Vol;Flight;Vuelo;Our flight was delayed by two hours.;El nostre vol es va retardar dues hores.;Nuestro vuelo se retrasó dos horas.
Guia;Guidebook;Guía;The guidebook was very helpful.;La guia va ser molt útil.;La guía fue muy útil.
Hotel;Hotel;Hotel;We booked a hotel near the beach.;Vam reservar un hotel a prop de la platja.;Reservamos un hotel cerca de la playa.
Passatgers;Passengers;Pasajeros;Passengers should board the plane now.;Els passatgers han d’embarcar ara.;Los pasajeros deben embarcar ahora.
Passaport;Passport;Pasaporte;I forgot my passport at home.;He oblidat el passaport a casa.;Olvidé el pasaporte en casa.
Recepció;Reception;Recepción;Please ask at the hotel reception.;Si us plau, pregunta a la recepció de l’hotel.;Por favor, pregunta en la recepción del hotel.
Reserves;Reservations;Reservas;We made dinner reservations at 7 p.m.;Vam fer reserves per sopar a les 7 p.m.;Hicimos reservas para cenar a las 7 p.m.
Tornada;Return;Regreso;Our return flight is tomorrow.;El nostre vol de tornada és demà.;Nuestro vuelo de regreso es mañana.
Ruta;Route;Ruta;We changed our route to avoid traffic.;Vam canviar la ruta per evitar el trànsit.;Cambiamos la ruta para evitar el tráfico.
Control de seguretat;Security check;Control de seguridad;We went through the security check quickly.;Vam passar ràpidament el control de seguretat.;Pasamos rápidamente el control de seguridad.
Souvenir;Souvenir;Recuerdo;She bought a souvenir for her friend.;Va comprar un record per a la seva amiga.;Compró un recuerdo para su amiga.
Parada;Stop;Parada;The bus stop is around the corner.;La parada d’autobús és a la cantonada.;La parada de autobús está a la vuelta de la esquina.
Maleta;Suitcase;Maleta;Her suitcase is very heavy.;La seva maleta és molt pesada.;Su maleta es muy pesada.
Bitllet;Ticket;Billete;I bought a train ticket online.;Vaig comprar un bitllet de tren en línia.;Compré un billete de tren en línea.
Guia turística;Tour Guide;Guía turística;The tour guide was very knowledgeable.;La guia turística era molt experta.;La guía turística era muy conocedora.
Turista;Tourist;Turista;The city is full of tourists in summer.;La ciutat és plena de turistes a l’estiu.;La ciudad está llena de turistas en verano.
Viatge;Trip;Viaje;They went on a trip to Italy.;Van fer un viatge a Itàlia.;Hicieron un viaje a Italia.
Vacances;Vacation;Vacaciones;I'm going on vacation next week.;Me’n vaig de vacances la setmana que ve.;Me voy de vacaciones la semana que viene.
Visat;Visa;Visado;She applied for a tourist visa.;Va sol·licitar un visat de turista.;Solicitó un visado de turista.
